EntryName,RelatedPublication,OriginalDataAuthors,DataAvailability,ResultType,C10,C20,C30 ,ShearModulus,FittingQualityMetric,FittingQualityMetricType,Stretch_Range,Tissue_Category,Tissue_Origin,Tissue_Source,Tissue_Health_Status,Tissue_DirectionalCharacteristic,Tissue_LayerwiseCharacteristics,Other_Tissue_Details,Sample_Dimensions,Sample_Preparation_details,TestingMedium,TestingMode,Experimental_Equipment,ExperimentalDetails,Modelling Details,ModelSettings
Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,0.01,0.01,0.01,0.01,0.01,Thisisatest,0.01,Other,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest,Thisisatest
Sample2_0.2_radial.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.063074435,0.181795043,4.36E-07,0.126148869,0.0545,RMSE,1.6,Cardiac,Porcine,Slaughterhouse,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample3_0.2_radial.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.096115885,0.114666962,7.40E-06,0.19223177,0.0264,RMSE,1.6,Cardiac,Porcine,Slaughterhouse,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample1_0.2_radial.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.157934932,0.118740241,4.35E-07,0.315869863,0.0568,RMSE,1.6,Cardiac,Porcine,Slaughterhouse,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample1_0.5_radial.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.140868274,0.070278414,1.57E-06,0.281736548,0.0663,RMSE,1.6,Cardiac,Porcine,Slaughterhouse,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample2_0.5_radial.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.064557047,0.101056363,1.17E-05,0.129114093,0.0101,RMSE,1.6,Cardiac,Porcine,Slaughterhouse,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample3_0.5_radial.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.040976718,0.087955502,1.48E-06,0.081953436,0.0149,RMSE,1.6,Cardiac,Porcine,Slaughterhouse,Healthy,Radial,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample1_0.2_circumferential.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,1.60257064,5.027017127,0.000361595,3.20514128,0.1374,RMSE,1.3,Cardiac,Porcine,Slaughterhouse,Healthy,Circumferential,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample2_0.2_circumferential.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,1.073468465,7.427136874,6.61E-08,2.146936931,0.2082,RMSE,1.3,Cardiac,Porcine,Slaughterhouse,Healthy,Circumferential,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
Sample3_0.2_circumferential.csv,https://doi.org/10.1098/rsos.160585,"Afshin Anssari-Benam, Andrea Bucchi, Hazel R. C. Screen and Sam L. Evans",10.17029/754df175-2aa1-4859-993f-4cb775c7122d,Individual,0.823674081,5.136009362,2.75E-08,1.647348161,0.2466,RMSE,1.3,Cardiac,Porcine,Slaughterhouse,Healthy,Circumferential,No layerwise characteristic,"[""Unique Tissue Name"":Porcine Atrioventricular Valve,""Additional Characteristics"": Porcine Atrioventricular Valve (""Central belly region"")]","[""Samplethickness"":N/A,""Samplewidth "": 5mm,""Samplelength "": 10mm,""sampleage"":N/A]","[""Tools"":N/A,""Chemicaltreatment "": Dulbecco’s Modified Eagle’s Medium,""Extra details"":None]",Not Known,UT,Bose Electroforce 3200 ,"[""mediummode "": Not Known,""preconditioning"":No preconditioning ]","[""Software"":""Python Flask App"",""Optimization_Type "": minimize,""Algorithm"":trust-constr]","[""InitialGuesses"":[1, 1, 1],""Bounds"": [[0, 1000], [0, 1000], [0, 1000]]]"
